Sail Date.,QTY.(KGS)
2021-01-01,40496
2021-01-01,21400
2021-01-01,9718
2021-01-01,25507
2021-01-01,11400
2021-01-01,78621
2021-01-01,16450
2021-01-01,81640
2021-01-01,12737
2021-01-01,41872
2021-01-01,13130
2021-01-01,50500
2021-01-01,19160
2021-01-01,81146
2021-01-01,23300
2021-01-01,28000
2021-01-01,45828
2021-01-01,85823
2021-01-01,38400
2021-01-01,43924
2021-01-01,285403
2021-01-01,19200
2021-01-01,44800
2021-01-01,11043
2021-01-01,48720
2021-01-01,49649
2021-01-02,26000
2021-01-02,25538
2021-01-02,25000
2021-01-02,12120
2021-01-02,4455
2021-01-02,28360
2021-01-02,25212
2021-01-02,27900
2021-01-02,8520
2021-01-02,27190
2021-01-02,176218
2021-01-02,22400
2021-01-02,5300
2021-01-02,24430
2021-01-02,21942
2021-01-02,30000
2021-01-02,7480
2021-01-02,15000
2021-01-02,44368
2021-01-02,11040
2021-01-02,26928
2021-01-02,44379
2021-01-02,28300
2021-01-02,27500
2021-01-02,25500
2021-01-02,15876
2021-01-02,19200
2021-01-02,15500
2021-01-02,82980
2021-01-02,19017
2021-01-02,14000
2021-01-02,28560
2021-01-02,5328
2021-01-02,28000
2021-01-02,24400
2021-01-02,9408
2021-01-02,114600
2021-01-02,7940
2021-01-02,24188
2021-01-02,26640
2021-01-02,48000
2021-01-02,27912
2021-01-02,44000
2021-01-02,28400
2021-01-02,28270
2021-01-03,14000
2021-01-03,78000
2021-01-03,28000
2021-01-03,15000
2021-01-03,109107
2021-01-03,8617
2021-01-03,11175
2021-01-03,24940
2021-01-03,13780
2021-01-03,15876
2021-01-03,49000
2021-01-03,6950
2021-01-03,18664
2021-01-03,25000
2021-01-03,26000
2021-01-03,13104
2021-01-03,122300
2021-01-03,28480
2021-01-03,28400
2021-01-03,80122
2021-01-03,56400
2021-01-03,24000
2021-01-03,48000
2021-01-03,12540
2021-01-03,16400
2021-01-03,50000
2021-01-03,15543
2021-01-04,15876
2021-01-04,13680
2021-01-04,6914
2021-01-04,53466
2021-01-04,18000
2021-01-04,11628
2021-01-04,78303
2021-01-04,3696
2021-01-04,11750
2021-01-05,25257
2021-01-05,20886
2021-01-05,15178
2021-01-05,16281
2021-01-05,130000
2021-01-05,16920
2021-01-05,19080
2021-01-05,10990
2021-01-05,15876
2021-01-05,16528
2021-01-05,28718
2021-01-05,15584
2021-01-05,23580
2021-01-05,16450
2021-01-05,25680
2021-01-05,15000
2021-01-05,12604
2021-01-05,20899
2021-01-05,19864
2021-01-05,130345
2021-01-05,59811
2021-01-05,21777
2021-01-05,12980
2021-01-05,47150
2021-01-05,47508
2021-01-05,15105
2021-01-05,23092
2021-01-05,25148
2021-01-05,66746
2021-01-05,57600
2021-01-06,5238
2021-01-06,13750
2021-01-07,20000
2021-01-07,22273
2021-01-07,22326
2021-01-07,55830
2021-01-07,19000
2021-01-07,3377
2021-01-07,28068
2021-01-07,15000
2021-01-07,43668
2021-01-07,153600
2021-01-07,115200
2021-01-07,33471
2021-01-07,19867
2021-01-07,6070
2021-01-08,14840
2021-01-08,25250
2021-01-08,57600
2021-01-08,28000
2021-01-08,14564
2021-01-08,38400
2021-01-08,52000
2021-01-08,25000
2021-01-08,104000
2021-01-08,16000
2021-01-08,25850
2021-01-08,15000
2021-01-08,25307
2021-01-08,32490
2021-01-08,49000
2021-01-08,46634
2021-01-08,18816
2021-01-08,28400
2021-01-08,56900
2021-01-08,22260
2021-01-08,13178
2021-01-08,24320
2021-01-08,24530
2021-01-08,18000
2021-01-08,19900
2021-01-08,54000
2021-01-08,19200
2021-01-08,24000
2021-01-08,15876
2021-01-08,9072
2021-01-08,14770
2021-01-08,153600
2021-01-08,11387
2021-01-08,73384
2021-01-08,3975
2021-01-08,26300
2021-01-08,23770
2021-01-08,21795
2021-01-08,48000
2021-01-08,9890
2021-01-09,5610
2021-01-09,364112
2021-01-09,25020
2021-01-09,48000
2021-01-09,27002
2021-01-09,26200
2021-01-09,28400
2021-01-09,19200
2021-01-09,24000
2021-01-09,36000
2021-01-09,9000
2021-01-09,26000
2021-01-09,101505
2021-01-09,19960
2021-01-09,26260
2021-01-09,49000
2021-01-09,25000
2021-01-09,19000
2021-01-09,13000
2021-01-09,25872
2021-01-09,12120
2021-01-09,19170
2021-01-09,23800
2021-01-09,28580
2021-01-09,21670
2021-01-09,15000
2021-01-09,11328
2021-01-09,13716
2021-01-09,42000
2021-01-09,58151
2021-01-09,28578
2021-01-09,28542
2021-01-09,14451
2021-01-09,57600
2021-01-09,28500
2021-01-09,134400
2021-01-09,138000
2021-01-09,25481
2021-01-09,23963
2021-01-09,24480
2021-01-09,28100
2021-01-09,20000
2021-01-09,10461
2021-01-12,57600
2021-01-12,14000
2021-01-12,38400
2021-01-12,25143
2021-01-13,19200
2021-01-13,4668
2021-01-13,21159
2021-01-13,16210
