Sail Date.,QTY.(KGS)
2020-01-01,1076272
2020-01-04,110652
2020-01-06,60000
2020-01-07,1260475
2020-01-09,936273
2020-01-11,1507611
2020-01-12,591530
2020-01-13,1424299
2020-01-14,586636
2020-01-15,83479
2020-01-17,669303
2020-01-19,544742
2020-01-20,369787
2020-01-21,1639413
2020-01-22,144738
2020-01-23,953362
2020-01-24,211205
2020-01-27,736916
2020-01-28,2358506
2020-01-29,755594
2020-01-30,87876
2020-01-31,723346
2020-02-02,135551
2020-02-03,488231
2020-02-06,2180088
2020-02-07,861975
2020-02-09,1196127
2020-02-10,1350325
2020-02-11,284981
2020-02-13,150297
2020-02-14,940505
2020-02-16,766399
2020-02-17,1223549
2020-02-19,1560938
2020-02-21,576048
2020-02-22,93480
2020-02-24,470643
2020-02-25,2488208
2020-02-27,56500
2020-02-28,1157799
2020-02-29,279600
2020-03-01,888411
2020-03-02,1474055
2020-03-03,1756680
2020-03-07,100782
2020-03-10,1627303
2020-03-13,1148963
2020-03-15,923342
2020-03-16,814380
2020-03-17,2342950
2020-03-18,131807
2020-03-19,32520
2020-03-21,2339200
2020-03-23,586401
2020-03-25,1288078
2020-03-26,1134144
2020-03-27,600171
2020-03-30,12479
2020-03-31,109450
2020-04-02,13758
2020-04-03,1297469
2020-04-04,505890
2020-04-05,2771594
2020-04-07,1684789
2020-04-08,104170
2020-04-09,207914
2020-04-11,952468
2020-04-13,921310
2020-04-14,272731
2020-04-16,1197545
2020-04-18,1236586
2020-04-20,871934
2020-04-21,328831
2020-04-22,44367
2020-04-26,2824292
2020-04-27,629085
2020-04-29,1913691
2020-05-02,1675623
2020-05-03,1112648
2020-05-05,1585858
2020-05-06,2435052
2020-05-07,78836
2020-05-08,1421676
2020-05-09,236003
2020-05-10,124570
2020-05-11,943653
2020-05-12,1666359
2020-05-15,56000
2020-05-16,1348693
2020-05-18,1571302
2020-05-19,1500775
2020-05-21,726240
2020-05-22,1708343
2020-05-25,1217987
2020-05-26,994570
2020-05-28,318615
2020-05-30,153876
2020-05-31,1275877
2020-06-01,806306
2020-06-02,78000
2020-06-03,876505
2020-06-04,233917
2020-06-05,1059515
2020-06-06,792514
2020-06-07,328430
2020-06-08,894076
2020-06-10,1175905
2020-06-12,174263
2020-06-13,1636284
2020-06-15,1702663
2020-06-17,37940
2020-06-18,1923902
2020-06-21,82262
2020-06-22,1071441
2020-06-23,1869346
2020-06-24,593627
2020-06-27,338816
2020-06-29,1380270
2020-06-30,851648
2020-07-01,1319714
2020-07-02,961388
2020-07-04,223800
2020-07-06,470811
2020-07-07,740440
2020-07-08,951953
2020-07-09,2160664
2020-07-10,1143043
2020-07-11,241137
2020-07-13,945104
2020-07-14,1735816
2020-07-15,15876
2020-07-16,664840
2020-07-20,415950
2020-07-21,2459376
2020-07-22,2458811
2020-07-23,92627
2020-07-25,1346729
2020-07-27,195342
2020-07-28,1166419
2020-07-29,145581
2020-07-30,306387
2020-07-31,705459
2020-08-01,117474
2020-08-04,376949
2020-08-06,1599746
2020-08-07,1244588
2020-08-08,1663980
2020-08-09,736976
2020-08-10,1296411
2020-08-11,2047378
2020-08-12,149043
2020-08-13,1643256
2020-08-15,81425
2020-08-16,1453157
2020-08-18,309225
2020-08-21,1813251
2020-08-22,1277592
2020-08-23,372413
2020-08-24,646304
2020-08-26,704389
2020-08-27,46182
2020-08-28,1407943
2020-08-30,274471
2020-08-31,1863082
2020-09-03,637996
2020-09-05,880396
2020-09-06,1779793
2020-09-07,1939205
2020-09-09,270312
2020-09-11,77024
2020-09-12,1254216
2020-09-13,1981667
2020-09-14,324009
2020-09-15,2569866
2020-09-18,422505
2020-09-21,1305576
2020-09-22,1779983
2020-09-23,414340
2020-09-24,68743
2020-09-25,1325000
2020-09-27,145319
2020-09-28,332967
2020-09-29,1741115
2020-09-30,25002
2020-10-01,446831
2020-10-02,591367
2020-10-03,2508648
2020-10-04,359539
2020-10-05,242169
2020-10-06,171160
2020-10-08,453805
2020-10-10,1585128
2020-10-11,486237
2020-10-12,390885
2020-10-13,627239
2020-10-14,1319916
2020-10-15,30000
2020-10-16,1433789
2020-10-18,89608
2020-10-19,1535458
2020-10-21,1283699
2020-10-23,81766
2020-10-26,2591928
2020-10-27,1256039
2020-10-29,40033
2020-10-31,167759
2020-11-02,1407754
2020-11-03,94361
2020-11-05,777248
2020-11-06,274131
2020-11-07,209669
2020-11-08,1787049
2020-11-11,1262282
2020-11-12,313947
2020-11-13,1170712
2020-11-14,136145
2020-11-15,1129577
2020-11-16,1307138
2020-11-17,178053
2020-11-19,328904
2020-11-21,223948
2020-11-22,1192644
2020-11-23,680304
2020-11-25,379241
2020-11-26,1403657
2020-11-28,19200
2020-11-29,1163322
2020-11-30,1497397
2020-12-01,139500
2020-12-02,1419351
2020-12-03,382568
2020-12-05,1559899
2020-12-07,1086722
2020-12-08,233842
2020-12-09,39000
2020-12-10,382835
2020-12-11,785535
2020-12-12,1571497
2020-12-14,216311
2020-12-15,213104
2020-12-16,926690
2020-12-17,751870
2020-12-19,1979977
2020-12-20,163996
2020-12-21,391474
2020-12-22,248608
2020-12-23,1440512
2020-12-24,587678
2020-12-25,748378
2020-12-26,1173634
2020-12-28,3039331
2020-12-30,118312
