Sail Date.,QTY.(KGS)
2022-01-01,19900
2022-01-01,56800
2022-01-01,15000
2022-01-01,20938
2022-01-01,18720
2022-01-01,20020
2022-01-01,15708
2022-01-01,41876
2022-01-01,9350
2022-01-01,17400
2022-01-01,40520
2022-01-01,25620
2022-01-01,8000
2022-01-01,57548
2022-01-01,28600
2022-01-01,27640
2022-01-01,28500
2022-01-01,14944
2022-01-01,30000
2022-01-01,15876
2022-01-01,28710
2022-01-01,10283
2022-01-01,19500
2022-01-01,14963
2022-01-01,77696
2022-01-01,15697
2022-01-01,11005
2022-01-01,22928
2022-01-01,25000
2022-01-01,26000
2022-01-01,72000
2022-01-01,49820
2022-01-01,24000
2022-01-01,39064
2022-01-01,13866
2022-01-01,12642
2022-01-01,31658
2022-01-01,16960
2022-01-01,40360
2022-01-01,7788
2022-01-01,11295
2022-01-01,24508
2022-01-01,12540
2022-01-01,26320
2022-01-01,9049
2022-01-02,76800
2022-01-02,22680
2022-01-02,18900
2022-01-02,21249
2022-01-02,24384
2022-01-02,18072
2022-01-02,15168
2022-01-02,23348
2022-01-02,14171
2022-01-02,19085
2022-01-02,17110
2022-01-02,16800
2022-01-02,116544
2022-01-02,19800
2022-01-02,19424
2022-01-02,5352
2022-01-02,7078
2022-01-02,17100
2022-01-02,18000
2022-01-02,21094
2022-01-02,21745
2022-01-02,27292
2022-01-02,43760
2022-01-02,18177
2022-01-02,16260
2022-01-02,10530
2022-01-02,25221
2022-01-02,6560
2022-01-02,54594
2022-01-02,12777
2022-01-02,17874
2022-01-02,11130
2022-01-02,10945
2022-01-02,16902
2022-01-04,23004
2022-01-04,20020
2022-01-04,18720
2022-01-04,21681
2022-01-04,14729
2022-01-04,12019
2022-01-04,6441
2022-01-04,28400
2022-01-04,508
2022-01-04,23944
2022-01-04,20050
2022-01-04,25000
2022-01-04,20398
2022-01-04,3628
2022-01-04,14168
2022-01-04,2400
2022-01-04,1512
2022-01-04,7860
2022-01-04,26940
2022-01-04,36788
2022-01-04,52202
2022-01-04,23000
2022-01-04,72000
2022-01-04,76900
2022-01-04,24000
2022-01-04,26000
2022-01-04,18997
2022-01-04,19363
2022-01-04,13695
2022-01-04,6774
2022-01-04,15150
2022-01-04,40379
2022-01-04,5100
2022-01-04,33840
2022-01-04,22330
2022-01-04,48000
2022-01-04,16380
2022-01-04,15000
2022-01-04,18297
2022-01-04,8000
2022-01-04,13000
2022-01-04,5000
2022-01-04,14136
2022-01-04,57584
2022-01-04,15736
2022-01-04,18216
2022-01-04,9312
2022-01-04,24840
2022-01-04,17370
2022-01-04,7526
2022-01-04,12120
2022-01-04,31752
2022-01-04,17155
2022-01-04,20333
2022-01-04,17676
2022-01-04,25608
2022-01-04,27600
2022-01-04,28000
2022-01-04,110400
2022-01-04,29226
2022-01-04,28500
2022-01-04,28700
2022-01-04,16000
2022-01-04,123
2022-01-04,9845
2022-01-04,28600
2022-01-08,14101
2022-01-08,9960
2022-01-08,12980
2022-01-08,25913
2022-01-08,19060
2022-01-08,26000
2022-01-08,17452
2022-01-08,17072
2022-01-08,12120
2022-01-08,61212
2022-01-08,19796
2022-01-08,6765
2022-01-09,15408
2022-01-09,25153
2022-01-09,17998
2022-01-09,4977
2022-01-09,12134
2022-01-09,16380
2022-01-09,16920
2022-01-09,16000
2022-01-09,38000
2022-01-09,22549
2022-01-09,4273
2022-01-09,68620
2022-01-09,8844
2022-01-09,42215
2022-01-09,20400
2022-01-09,20240
2022-01-09,22983
2022-01-09,18000
2022-01-09,21000
2022-01-09,69000
2022-01-09,32000
2022-01-09,24400
2022-01-09,17480
2022-01-09,158000
2022-01-09,20000
2022-01-09,25000
2022-01-10,1152
2022-01-10,15000
2022-01-10,10692
2022-01-10,30000
2022-01-10,15876
2022-01-10,57480
2022-01-10,16617
2022-01-10,19200
2022-01-10,42388
2022-01-10,21704
2022-01-10,13364
2022-01-10,4281
2022-01-10,24349
2022-01-10,120
2022-01-10,38400
2022-01-10,16500
2022-01-10,19733
2022-01-10,57120
2022-01-10,23218
2022-01-10,27600
2022-01-10,13800
2022-01-10,28680
2022-01-10,96000
2022-01-10,57600
2022-01-10,76800
2022-01-10,115200
2022-01-10,28575
2022-01-10,74153
2022-01-10,19080
2022-01-10,28000
2022-01-10,20160
2022-01-10,50444
2022-01-10,85000
2022-01-10,18084
2022-01-10,4660
2022-01-10,55743
2022-01-10,126800
2022-01-10,14795
2022-01-10,24955
2022-01-10,11780
2022-01-10,23000
2022-01-10,48000
2022-01-10,41016
2022-01-10,7877
2022-01-10,50160
2022-01-10,14394
2022-01-10,24249
2022-01-10,21023
2022-01-10,20444
2022-01-10,1416
2022-01-10,25000
2022-01-10,14340
2022-01-10,23133
2022-01-10,28664
2022-01-10,135405
2022-01-10,4400
2022-01-10,8928
2022-01-10,21750
2022-01-10,20208
2022-01-10,40360
2022-01-10,16000
2022-01-10,10289
2022-01-10,32320
2022-01-10,12140
2022-01-10,50235
2022-01-10,25235
2022-01-10,18349
2022-01-10,16009
2022-01-10,20152
2022-01-10,52864
2022-01-10,17900
2022-01-11,25459
2022-01-11,21600
2022-01-11,6825
2022-01-11,15195
2022-01-11,25250
2022-01-11,50147
2022-01-11,12546
2022-01-11,20304
2022-01-11,19200
2022-01-11,19424
2022-01-11,13080
2022-01-11,97120
2022-01-11,20102
2022-01-11,18000
2022-01-11,20320
2022-01-11,14963
2022-01-11,22380
2022-01-11,448400
2022-01-11,28000
2022-01-11,38624
2022-01-11,4201
2022-01-11,20929
2022-01-11,24887
2022-01-11,12224
2022-01-11,10758
2022-01-11,18520
2022-01-11,50000
2022-01-11,15000
2022-01-11,11039
2022-01-11,14396
2022-01-11,25909
2022-01-11,20000
2022-01-11,27000
2022-01-11,11746
2022-01-11,5065
2022-01-11,47892
2022-01-11,10490
2022-01-11,8581
2022-01-11,123346
2022-01-11,47970
2022-01-11,26540
2022-01-11,24240
2022-01-11,9055
2022-01-11,51912
2022-01-12,13522
2022-01-12,14137
2022-01-12,10480
2022-01-12,46490
2022-01-12,12297
2022-01-12,19080
2022-01-12,15876
2022-01-12,5040
2022-01-12,39196
2022-01-12,19200
2022-01-12,22310
2022-01-12,97055
2022-01-12,40808
2022-01-12,22380
2022-01-12,10708
2022-01-12,19872
2022-01-12,23163
2022-01-12,195020
2022-01-12,96672
2022-01-12,22946
2022-01-12,58048
2022-01-12,13972
2022-01-12,51000
2022-01-12,20160
2022-01-12,23985
2022-01-12,3150
2022-01-12,283
2022-01-12,4086
2022-01-12,14686
2022-01-12,22280
2022-01-12,25909
2022-01-12,65640
2022-01-12,13763
2022-01-12,11762
2022-01-12,19443
2022-01-12,181562
2022-01-12,9303
2022-01-12,25402
2022-01-12,24000
2022-01-12,8368
2022-01-12,25920
2022-01-12,23770
2022-01-12,15360
2022-01-12,7428
2022-01-12,17249
2022-01-15,22000
2022-01-15,19200
2022-01-15,3131
2022-01-15,17280
2022-01-15,14340
2022-01-15,37975
2022-01-15,9000
2022-01-15,16548
2022-01-15,3659
2022-01-15,17913
2022-01-15,49040
2022-01-15,20091
2022-01-15,20000
2022-01-15,68664
2022-01-15,14509
2022-01-15,20811
