Sail Date.,QTY.(KGS)
2018-01-01,257733
2018-01-04,577207
2018-01-05,1322201
2018-01-06,1652038
2018-01-07,1548883
2018-01-08,912316
2018-01-09,581753
2018-01-10,1172197
2018-01-12,263069
2018-01-14,443842
2018-01-15,1958103
2018-01-17,1192562
2018-01-18,544733
2018-01-19,1469539
2018-01-20,142694
2018-01-22,2228702
2018-01-26,1015834
2018-01-27,878154
2018-01-28,938526
2018-01-29,826716
2018-01-30,760719
2018-02-01,690490
2018-02-02,1299829
2018-02-03,1330276
2018-02-04,1193179
2018-02-06,305730
2018-02-07,605481
2018-02-10,1017104
2018-02-11,560541
2018-02-12,400360
2018-02-13,1938990
2018-02-16,926435
2018-02-17,740732
2018-02-18,222476
2018-02-19,1332526
2018-02-22,101205
2018-02-23,1052140
2018-02-24,2079121
2018-02-25,168321
2018-02-26,462624
2018-02-28,2386018
2018-03-01,1404684
2018-03-02,325350
2018-03-04,818989
2018-03-07,1890965
2018-03-09,1152558
2018-03-10,138202
2018-03-11,100145
2018-03-12,486561
2018-03-13,1992685
2018-03-16,1485861
2018-03-19,1455249
2018-03-20,1382412
2018-03-21,504260
2018-03-22,162628
2018-03-23,1535178
2018-03-24,989203
2018-03-25,598436
2018-03-26,122960
2018-03-27,2552835
2018-03-28,253320
2018-03-30,2394072
2018-03-31,208170
2018-04-02,613168
2018-04-03,319977
2018-04-05,1179129
2018-04-06,1120727
2018-04-07,189976
2018-04-08,228556
2018-04-09,86779
2018-04-10,45650
2018-04-11,1426891
2018-04-12,1841712
2018-04-13,1238065
2018-04-15,231700
2018-04-16,1269040
2018-04-17,769292
2018-04-18,204610
2018-04-19,37276
2018-04-20,1761653
2018-04-22,593531
2018-04-23,1433626
2018-04-24,788064
2018-04-25,18000
2018-04-27,425729
2018-04-28,325846
2018-04-29,1438159
2018-04-30,1638152
2018-05-01,899036
2018-05-03,823253
2018-05-05,101725
2018-05-06,1098235
2018-05-08,422726
2018-05-09,1167065
2018-05-10,545401
2018-05-11,1433491
2018-05-12,344526
2018-05-14,1247511
2018-05-15,1350770
2018-05-18,618354
2018-05-19,1445351
2018-05-20,32977
2018-05-21,966102
2018-05-22,1416581
2018-05-23,194529
2018-05-26,2209761
2018-05-27,2160326
2018-05-30,1164020
2018-05-31,406774
2018-06-01,703570
2018-06-02,2485984
2018-06-03,1967020
2018-06-04,1531279
2018-06-06,534235
2018-06-07,1170527
2018-06-08,2993635
2018-06-10,735121
2018-06-11,1296357
2018-06-12,4835
2018-06-13,767446
2018-06-15,1233264
2018-06-16,154873
2018-06-18,352422
2018-06-19,1755481
2018-06-20,206230
2018-06-22,1416386
2018-06-23,66000
2018-06-24,640628
2018-06-25,476927
2018-06-26,1364286
2018-06-27,330151
2018-06-28,729882
2018-06-30,418886
2018-07-02,318929
2018-07-03,658862
2018-07-04,513414
2018-07-05,1601586
2018-07-06,371929
2018-07-08,2037237
2018-07-09,1283658
2018-07-10,815640
2018-07-11,241174
2018-07-12,1908524
2018-07-14,859041
2018-07-15,1256184
2018-07-16,232203
2018-07-17,1672668
2018-07-20,1938739
2018-07-21,285786
2018-07-23,667976
2018-07-24,1065470
2018-07-25,1196617
2018-07-27,15000
2018-07-29,1405767
2018-07-30,181298
2018-07-31,1563242
2018-08-01,1269137
2018-08-02,474992
2018-08-05,1313567
