,Unnamed: 0,Address,pincode,Taluk,Districtname,statename,Latitude,Longitude
1,1,"WJMW+7F7, Chandanathope, Mamoodu, Kerala 14, India",686012,Kottayam,Kottayam,KERALA,9.54856711111111,76.52230786666667
3,3,"98WW+WWQ, Valanjavazhy, Ambalapuzha, Kerala 688005, India",688005,Ambalappuzha,Alappuzha,KERALA,9.40768399,76.351707025
9,15,"MINI INDUSTRIAL ESTATE, PLOT NO .5, near POLICE STATION, Manarcadu, Kerala 686019, India",686019,Kottayam,Kottayam,KERALA,9.592533289090907,76.58230555090908
11,17,"Kochangadi, Chullickal, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
14,20,"19/2084-E, Nambiapuram Rd, Palluruthy, Kochi, Kerala 682006, India",682006,Kochi,Ernakulam,KERALA,9.917652551851852,76.27326455925926
15,21,"Accelerated Freeze Drying Co. Ltd. (AFDC, R7CX+HQ6 P.O, Eramallur Ezhupunna Rd, Eramalloor, Ezhupunna, Kerala 688537, India",688537,Cherthala,Alappuzha,KERALA,9.82172572,76.30522974
16,22,"Binanipuram, Edayar, Kochi, Kerala 683502, India",683502,Paravur,Ernakulam,KERALA,10.087692555555556,76.30506273333334
19,27,"Near Pampady Gramapanchayth, NH- 220, Pampady Road, Pampady, Kottayam, Pampady, Kerala 686502, India",686502,Kottayam,Kottayam,KERALA,9.581621149411763,76.63691744941177
22,30,"Agappe Hills, Pattimattom PO, Kochi, Kerala 683562, India",683562,Aluva,Ernakulam,KERALA,10.034164772289158,76.42900358072289
27,41,"Akanadu, Mudakuzha P.O, Kurichilakodu, Akanad, Kochi, Vengoor West, Kerala 683546, India",683546,Kunnathunad,Ernakulam,KERALA,10.1428569,76.52744881481482
31,48,"Mookkannoor Ezhattumugham Rd, Mookkannoor, Kerala 683577, India",683577,Aluva,Ernakulam,KERALA,10.236465032954545,76.41597145568181
32,49,"X746+P3V, Jew Town Rd, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
33,50,"P838+CP5, Kottaram Jn. Rd, Kadakkarappally, Kerala 688529, India",688529,Cherthala,Alappuzha,KERALA,9.705020973333331,76.3096675088889
34,51,"P.O, Kommady, Thumpoly, Alappuzha, Aryad South, Kerala 688008, India",688008,Ambalapuzha,Alappuzha,KERALA,9.521471733333334,76.3244164
35,52,"Alappuzha, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
36,53,"Alappuzha, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
37,54,"Puthoor, Kerala 691507, India",691507,Kottarakkara,Kollam,KERALA,9.043139252830189,76.7161006773585
42,61,"Edappally Raghavan Pillai Road, Junction, Perandoor, Elamakkara, Kochi, Kerala 682026, India",682026,Ernakulam,Ernakulam,KERALA,10.01621266875,76.288820209375
43,62,"MLA Rd, Poochakkal, Cherthala, Panavally, Kerala 688526, India",688526,Cherthala,Alappuzha,KERALA,9.806103366981132,76.35243924716981
44,63,"Anchuthengu, Kerala, India",686012,Kottayam,Kottayam,KERALA,9.54856711111111,76.52230786666667
45,64,"2QHX+CR5, Thalavoor, Kerala 691560, India",691560,Kottarakara,Kollam,KERALA,9.04378430952381,76.78092363809523
47,67,"Parambithara Rd, Panampilly Nagar, Kochi, Kerala 682036, India",682036,Ernakulam,Ernakulam,KERALA,9.959980295833333,76.29498357083334
51,73,"V872+GG9, Keltron Rd, Aroor gram panchayat, Kochi, Kerala 688534, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
52,74,"22/1177, Aroor - Thoppumpady Rd, N.H. 47, Edakochi, Kochi, Kerala 682010, India",682010,Kochi,Ernakulam,KERALA,9.9107678,76.29057865833333
53,75,"Arani, Tamil Nadu, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
55,77,"Thattaveli Palam, Velloor, Kerala 686605, India",686605,Vaikom,Kottayam,KERALA,9.795920142424242,76.44080179242424
60,84,"Road, Aroor gram panchayat, Kochi, Kerala 688534, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
61,85,"Plot No. 39-B, CSEZ, Kakkanad, Kochi, Kakkanad, Kerala 682037, India",682037,Ernakulam,Ernakulam,KERALA,9.997384706451612,76.34072476129032
65,89,"XIII/831, Vikas Rd, Karuvelipady, Thoppumpady, Kochi, Kerala 682005, India",682005,Kochi,Ernakulam,KERALA,9.940253061111113,76.25960161388889
69,96,"Industrial development plot, Punnapra North, Alappuzha, Kerala 688003, India",688003,Ambalapuzha,Alappuzha,KERALA,9.468575348387096,76.33827430967742
73,100,"WGJW+H82, Neendakara - Chinnakkada Rd, Sakthikulangara North, Kollam, Kerala 691581, India",691581,Kollam,Kollam,KERALA,8.928226436363635,76.54678488181818
75,102,"2M96+9MP, Moonnumukku - Uppoodu Road, Mathilakom, Kizhakkekallada, Kerala 691502, India",691502,Kollam,Kollam,KERALA,9.008392784545457,76.65603456545455
76,103,"Velichappat, 3/217 B, Poickattussery, Chengamanad PO Ernakulam District Nedumbassery kurumaseri Road 589P+397, Aluva - Mala Rd, Kerala 683578, Aluva, Kerala 683585, India",683578,Paravur,Ernakulam,KERALA,10.155197839473685,76.30713587631578
78,105,"IX/45-N INDUSTRIAL DEVELOPMENT PLOT, Poovanthuruthu, Kerala 686012, India",686012,Kottayam,Kottayam,KERALA,9.54856711111111,76.52230786666667
79,106,"5V2R+RX3, Kakkanchery, Chelambra, Kerala 673636, India",673636,Tirurangadi,Malappuram,KERALA,11.118472538297873,75.8919613468085
80,107,"Pathirappally Omanappuzha Road, Pattukalam, Alappuzha, Kerala 688522, India",688522,Ambalapuzha,Alappuzha,KERALA,9.572168202777778,76.32190507222222
83,113,"Thoppumpady, W7M8+59J, Thoppumpady, Kochi, Kerala 682005, India",682005,Kochi,Ernakulam,KERALA,9.940253061111113,76.25960161388889
84,114,"V798+RQR, puthenthode, Kannamaly, Kochi, Kerala 682008, India",682008,Kochi,Ernakulam,KERALA,9.869597658064515,76.26596289354838
86,116,"D-47&48, Municipal Shopping Complex, AM Rd, Perumbavoor, Kerala 683542, India",683542,Kunnathunad,Ernakulam,KERALA,10.114937405454544,76.47808056363637
90,121,"29Q2+WHJ, Edappally - Pukkattupady Rd, Kollamkudimugal, Kangarappady, Kochi, Kerala 682021, India",682021,Ernakulam,Ernakulam,KERALA,10.029233765060242,76.3353045433735
91,123,"2947+MW7, Infopark Campus, Infopark, Kakkanad, Kerala 682030, India",682030,Ernakulam,Ernakulam,KERALA,51.13351584878049,133.02442981463415
93,126,"Pallichal Rd, Valummel, Kochi, Kerala 682005, India",682005,Kochi,Ernakulam,KERALA,9.940253061111113,76.25960161388889
98,134,"Mavady Post, Enathu Puthoor Rd, Kerala 691507, India",691507,Kottarakkara,Kollam,KERALA,9.043139252830189,76.7161006773585
100,138,"Kollam Kerala, Kerala 691507, India",691507,Kottarakkara,Kollam,KERALA,9.043139252830189,76.7161006773585
108,152,"EEC Market, Market P.O, Vazhappily, Muvattupuzha, Kerala 686673, India",686673,Muvattupuzha,Ernakulam,KERALA,9.98582857409836,76.58100003016393
109,153,"HMD BUILDING, 18/1640, Karicode, Koikkal, Kollam, Kerala 691004, India",691004,Kollam,Kollam,KERALA,8.904030673684211,76.62197661052632
110,154,"48/2510D4, 2nd Floor, Blastline Corporate Chamber,Pottakuzhi Elamakkakara (PO, Perandoor Rd, Mamangalam, Kaloor, Ernakulam, Kochi, Kerala 682026, India",682026,Ernakulam,Ernakulam,KERALA,10.01621266875,76.288820209375
114,159,"14/486, East, Pandikudy, Chullickal, Kochi, Kerala 682001, India",682001,Kochi,Ernakulam,KERALA,9.961975513432836,76.24336774328359
118,163,"J9C6+WCC, Kayippuram, Muhamma, Kerala 688525, India",688525,Cherthala,Alappuzha,KERALA,9.619357622727271,76.35883995454545
119,164,"P9V4+QVH, Pallipuram, Kerala 688541, India",688541,Cherthala,Alappuzha,KERALA,9.742432095238096,76.36193387142858
122,171,"XI /799, VIJAYAPURAM, Vadavathoor, Kottayam, Kerala 686010, India",686010,Kottayam,Kottayam,KERALA,9.590680228,76.56449500800001
132,187,"P.B. No.2, Koovappady P.O, Akanad, Kerala 683544, India",683544,Kunnathunad,Ernakulam,KERALA,10.166672573758866,76.50774667872341
133,188,"Coir park 1 Thiruvizha North Road, Post, Mayithara, Cherthala South, Kerala 688539, India",688539,Cherthala,Alappuzha,KERALA,9.66428288888889,76.34121377777778
134,189,"Broadway, Church St, Marine Drive, Ernakulam, Kochi, Kerala 682031, India",682031,Ernakulam,Ernakulam,KERALA,9.99692354,76.27468644
136,192,"Ponpuzha, Ithithanam Post, Changanacherry Near Saintgits college, Pathamuttom, Kottayam, Ithithanam, Kerala 686535, India",686535,Changanassery,Kottayam,KERALA,9.479609457894735,76.52609346315789
139,195,"2PCC+JGV, Thevalapuram, Neduvathoor, Kerala 691507, India",691507,Kottarakkara,Kollam,KERALA,9.043139252830189,76.7161006773585
140,197,"AS Road, J84M+GF5, Kanjikuzhy, Shertallay, Kerala 688524, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
141,198,"WGPV+RXG, Neendakara, Kollam, Kerala 691582, India",691582,Karunagapally,Kollam,KERALA,8.9475339,76.53934165
143,204,"Chemmeens Junction,Karuvekipady, Kochi-682005, Karuvelipady, Kazhuthumuttu, Thoppumpady, Kochi, Kerala 682005, India",682005,Kochi,Ernakulam,KERALA,9.940253061111113,76.25960161388889
145,208,"V8C7+3QX Cherukattu Industries, Aroor gram panchayat, Kochi, Kerala 688534, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
146,209,"X6CJ+F69, Shanti Nagar, Perintalmanna, Kerala 679322, India",679322,Perinthalmanna,Malappuram,KERALA,10.977929251428572,76.22854857333334
149,214,"16B, CSEZ, Kakkanad, Kerala 682037, India",682037,Ernakulam,Ernakulam,KERALA,9.997384706451612,76.34072476129032
150,215,"Plot. No.41, 37, CSEZ, Kakkanad, Kochi, Kakkanad, Kerala 682037, India",682037,Ernakulam,Ernakulam,KERALA,9.997384706451612,76.34072476129032
151,216,"IV/833, MSP, Valavanad, Pollethai, Alappuzha, Kerala 688522, India",688522,Ambalapuzha,Alappuzha,KERALA,9.572168202777778,76.32190507222222
153,220,"Kochi, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
154,221,"Kochi, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
155,222,"Kochi, Kerala, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
156,223,"Federal Park, Vennala, Ernakulam, Kochi, Kerala 682028, India",682028,Ernakulam,Ernakulam,KERALA,9.99670085,76.32102778
157,224,"Kochi, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
158,225,"Poorna Nagar Park,, 4952+GWW, Periyar Nagar, Aluva, Kerala 683101, India",683101,Aluva,Ernakulam,KERALA,10.095680780412373,76.36233782061856
159,226,"PLOT no 63, Edayar, Kerala 683502, India",683502,Paravur,Ernakulam,KERALA,10.087692555555556,76.30506273333334
160,227,"20/46B, Near I.O.C Petrol Pump, Palluruthy Veli, Aroor - Thoppumpady Rd, Palluruthy, Kochi, Kerala 682006, India",682006,Kochi,Ernakulam,KERALA,9.917652551851852,76.27326455925926
161,228,"G83H+F9Q, Aarattuvazhi, Kanjiramchira, Aryad South, Alappuzha, Kerala 688007, India",688007,Ambalapuzh A,Alappuzha,KERALA,9.510326070833331,76.3268778625
162,230,"Coimbatore, Tamil Nadu, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
163,231,"Building No.X11, Pattanakkad, Cherthala, Pattanakkad, Kerala 688531, India",688531,Cherthala,Alappuzha,KERALA,9.725622914130437,76.31563821847826
164,232,"Kalyan Villa, Vellakinar Rd, Vellakkinar, Alappuzha, Kerala 688001, India",688001,Ambalapuzha,Alappuzha,KERALA,9.49638391904762,76.33209264761905
165,233,"TP-12/498K, Varanad PO, Cherthala, Pin: 688539, Alappuzha, Cherthala, Kerala 688524, India",688539,Cherthala,Alappuzha,KERALA,9.66428288888889,76.34121377777778
166,234,"J88R+699, Kanjikuzhy, Kanjikkuzhi, Kerala 688525, India",688525,Cherthala,Alappuzha,KERALA,9.619357622727271,76.35883995454545
167,235,"Chingavanam, Kerala 686007, India",686007,Kottayam,Kottayam,KERALA,9.531553366666667,76.5150448
168,236,"Coonoor, Tamil Nadu, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
173,241,"14-B, CSEZ, Kakkanad, Kerala 682037, India",682037,Ernakulam,Ernakulam,KERALA,9.997384706451612,76.34072476129032
175,244,"Kozhikode, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
177,249,"9/22 HA IDA, Nalam Mile, ALUVA, Kerala 683112, India",683112,Kunnathunad,Ernakulam,KERALA,10.08974094375,76.39621829375
178,250,"682037, CSEZ, Kochi, Kakkanad, Kerala 682037, India",682037,Ernakulam,Ernakulam,KERALA,9.997384706451612,76.34072476129032
