Month_Day,2018,2019,2020,2021,2022
01-01,337485,686993,1284272,1244317,1285112
01-02,1030556,1920106,985410,1499299,805926
01-03,1030556,1598395,985410,1115398,1198180
01-04,697207,1621244,110652,213313,2054215
01-05,1464201,148152,985410,1020265,1198180
01-06,1841074,384235,60000,18988,1198180
01-07,1830587,995967,1308975,557750,1198180
01-08,1159316,665465,985410,1599498,262227
01-09,630753,301686,1073901,1941132,782974
01-10,1557073,1906228,985410,1001102,2744039
01-11,1030556,1969674,1564611,1001102,1662263
01-12,263069,389311,711530,135143,1467857
01-13,1030556,995967,1772869,470994,1198180
01-14,508842,330847,645836,107926,1198180
01-15,2354455,1319344,83479,564197,447559
01-16,1030556,661691,985410,824859,1483570
01-17,1354446,86607,780435,359376,262993
01-18,629733,628160,985410,1282300,157045
01-19,1577791,1494600,603142,1001102,1128200
01-20,142694,995967,439939,963493,1198180
01-21,1030556,1474941,1952793,158840,2101004
01-22,2527535,1467823,192738,185522,1001912
01-23,1030556,142513,1061872,1548146,1129780
01-24,1030556,27319,227081,413233,143641
01-25,1030556,1222646,985410,319128,1145817
01-26,1104338,1206472,985410,1001102,1159382
01-27,954906,995967,784544,492286,185400
01-28,1015526,825453,2632286,396486,1198180
01-29,942716,1847598,945094,1962881,153826
01-30,784595,150401,87876,493016,1643480
01-31,1030556,995967,906574,1001102,1198180
02-01,789490,1906464,985410,991597,1425002
02-02,1425029,52270,159551,54260,1741415
02-03,1496304,995967,507431,1001102,1198180
02-04,1411179,1249785,985410,1001102,1198180
02-05,1030556,995967,985410,158589,438234
02-06,329730,995967,2572838,2331196,1198180
02-07,688557,1476566,934975,977010,1843370
02-08,1030556,995967,985410,1101291,116126
02-09,1030556,312548,1268497,1001102,2471658
02-10,1088732,822724,1362825,1018816,478275
02-11,601293,132419,314981,1429343,1362634
02-12,460360,692093,985410,900457,726187
02-13,2398350,2191269,198297,211762,155059
02-14,1030556,303587,1049381,1001102,1198180
02-15,1030556,995967,985410,2408771,1652443
02-16,1093939,2517677,1070399,1001102,1949754
02-17,740732,995967,1500949,522482,1013301
02-18,523076,382618,985410,1252606,1198180
02-19,1489902,3008623,1716966,1001102,1198180
02-20,1030556,950731,985410,27739,837028
02-21,1030556,995967,796524,2229961,243382
02-22,101205,1678316,108480,1001102,2049523
02-23,1099768,995967,985410,1484415,858533
02-24,2467016,995967,470643,1001102,1128715
02-25,168321,239982,3137760,2253089,3460002
02-26,462624,1528091,985410,49365,150400
02-27,1030556,2832122,80500,63440,1931645
02-28,2634970,174908,1287027,1530044,1198180
02-29,1030556,995967,327600,1001102,1198180
03-01,1568864,30000,908411,1710320,416566
03-02,325350,184674,1692063,2318550,1198180
03-03,1030556,995967,1861632,1716547,2518352
03-04,851189,244133,985410,1001102,1198180
03-05,1030556,1455546,985410,516744,1198180
03-06,1030556,436210,985410,1001102,1307534
03-07,2081765,2330899,116658,717982,1675220
03-08,1030556,717189,985410,951038,2272944
03-09,1305558,1255571,985410,864154,392653
03-10,163942,995967,1643753,293124,2669379
03-11,115145,469899,985410,587201,1771864
03-12,510561,3456441,985410,494437,65685
03-13,2196313,350224,1229715,40683,135781
03-14,1030556,67000,985410,751293,1198180
03-15,1030556,1200668,1193342,1564704,1198180
03-16,1602161,995967,830256,1001102,1198180
03-17,1030556,76550,2627578,25192,4020098
03-18,1030556,1727729,155807,259051,1198180
03-19,1687425,2451760,32520,1001102,3059973
03-20,1655416,1080785,985410,1690959,179050
03-21,528260,995967,2705552,1001102,696148
03-22,162628,1498038,985410,2188064,1198180
