Unnamed: 0,Address,pincode,Taluk,Districtname,statename,Latitude,Longitude,Cluster
0,"19, 2nd St, Balamurugan Nagar, Anna Nagar Extension, Velachery, Chennai, Tamil Nadu 600042, India",600042,Chennai City Corporation,Chennai,TAMIL NADU,0.2007725933783708,0.2751529578769452,0
1,"WJMW+7F7, Chandanathope, Mamoodu, Kerala 14, India",686012,Kottayam,Kottayam,KERALA,-0.31794317304059694,0.04300024107956015,0
2,"48W5+XQ9, Velampalayam, A.Thirumuruganpoondi, Tamil Nadu 641652, India",641652,Tiruppur,Coimbatore,TAMIL NADU,-0.07730412151106443,0.09302365013527163,0
3,"98WW+WWQ, Valanjavazhy, Ambalapuzha, Kerala 688005, India",688005,Ambalappuzha,Alappuzha,KERALA,-0.33924759409530736,0.03222472013754511,0
5,"48F6+985, MGR Nagar, Sirupooluvapatti, Tiruppur, Tamil Nadu 641687, India",641687,Tiruppur,Coimbatore,TAMIL NADU,-0.08362925877539708,0.09273776390048397,0
7,"1/126-E, near Pollachi, Devanurpudur, Tamil Nadu 642207, India",642207,Udaamalpet,Coimbatore,TAMIL NADU,-0.16735233638849917,0.07906456706863552,0
10,"Ho, Sipcot Industrial Growth Centre, Plot No-C2, near Water Tank, Perundurai, Tamil Nadu 638052, India",638052,Erode,Erode,TAMIL NADU,-0.05593593641058474,0.1104103755608965,0
12,"11/1, Periyar Nagar, West, Karur, Tamil Nadu 639002, India",639002,Aravakurichi,Karur,TAMIL NADU,-0.1044441562855393,0.14041054414539203,0
14,"5, Singaravelu St, T. Nagar, Chennai, Tamil Nadu 600017, India",600017,Chennai,Chennai,TAMIL NADU,0.21041963963745744,0.2774766191938923,0
15,"MINI INDUSTRIAL ESTATE, PLOT NO .5, near POLICE STATION, Manarcadu, Kerala 686019, India",686019,Kottayam,Kottayam,KERALA,-0.3112945840509392,0.04678982556642787,0
16,"Chorode Panchayath, Chorode, Vatakara, Kerala 673104, India",673104,Vadakara,Kozhikode,KERALA,-0.007089069426691905,-0.014853293664011419,0
17,"Kochangadi, Chullickal, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,-0.25614113630356034,0.026054744348465164,0
18,"Shop No.424, Thadagam Main Rd, Near Milk Society Bus Stop, Near Milk Company, R.S. Puram, Coimbatore, Tamil Nadu 641002, India",641002,Coimbatore South,Coimbatore,TAMIL NADU,-0.09687348809554108,0.07009170074035175,0
19,"No.9/76F, South Neervakuzhi, Kanyakumari, Palappallam, Tamil Nadu 629159, India",629159,Kalkulam,Kanyakumari,TAMIL NADU,-0.5241008003889517,0.08895014118305325,0
20,"19/2084-E, Nambiapuram Rd, Palluruthy, Kochi, Kerala 682006, India",682006,Kochi,Ernakulam,KERALA,-0.2621298749486079,0.027270123055403418,0
21,"Accelerated Freeze Drying Co. Ltd. (AFDC, R7CX+HQ6 P.O, Eramallur Ezhupunna Rd, Eramalloor, Ezhupunna, Kerala 688537, India",688537,Cherthala,Alappuzha,KERALA,-0.27663598185551336,0.029289113531195697,0
22,"Binanipuram, Edayar, Kochi, Kerala 683502, India",683502,Paravur,Ernakulam,KERALA,-0.23641633448699914,0.029278565026179863,0
23,"Mangalam, Tamil Nadu 641663, India",641663,Palladam,Coimbatore,TAMIL NADU,-0.08373086952414788,0.08994949002508011,0
25,"40, South St, Pethi Chetti Puram, Rayapuram, Tiruppur, Tamil Nadu 641601, India",641601,Avanashi,Coimbatore,TAMIL NADU,-0.08393361719730406,0.09076472216728873,0
27,"Near Pampady Gramapanchayth, NH- 220, Pampady Road, Pampady, Kottayam, Pampady, Kerala 686502, India",686502,Kottayam,Kottayam,KERALA,-0.3129447236595652,0.050239232088985813,0
28,"No: 1/H, Avinashi - Tiruppur Rd, near BBC Petrol Pump, Thaneerpanthal, Anupparpalayam Pudur, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652, India",641652,Tiruppur,Coimbatore,TAMIL NADU,-0.07730412151106443,0.09302365013527163,0
29,"114 A, Senthottam, Sowri Palayam, Coimbatore, Tamil Nadu 641028, India",641028,Coimbatore South,Coimbatore,TAMIL NADU,6.598816853167906,-0.8455986012226617,1
30,"Agappe Hills, Pattimattom PO, Kochi, Kerala 683562, India",683562,Aluva,Ernakulam,KERALA,-0.24451083455087305,0.03710693904573251,0
31,"No 4/571, Palladam Rd, Veerapandi, Tiruppur, Tamil Nadu 641605, India",641605,Kangayam,Erode,TAMIL NADU,-0.08019659230891528,0.09435305136593018,0
35,"60, Avinashi - Tiruppur Rd, Kumar Nagar, Park Avenue, Tiruppur, Tamil Nadu 641603, India",641603,Tiruppur,Coimbatore,TAMIL NADU,-0.0779661700573292,0.0947980283924137,0
36,"VCMC+GH, Veppampatti, Tamil Nadu 625534, India",625534,Bodinayakanur,Theni,TAMIL NADU,-0.2550527717972257,0.10264985048319296,0
39,"Shed No. 30, Netaji Apparel Park New, Tiruppur, Tamil Nadu 641666, India",641666,Tirupur,Coimbatore,TAMIL NADU,-0.06856140344899497,0.09621509293800827,0
41,"Akanadu, Mudakuzha P.O, Kurichilakodu, Akanad, Kochi, Vengoor West, Kerala 683546, India",683546,Kunnathunad,Ernakulam,KERALA,-0.22807435276496843,0.04332495456802272,0
