Unnamed: 0,Address,pincode,Taluk,Districtname,statename,Latitude,Longitude,Cluster
0,"19, 2nd St, Balamurugan Nagar, Anna Nagar Extension, Velachery, Chennai, Tamil Nadu 600042, India",600042,Chennai City Corporation,Chennai,TAMIL NADU,12.978761057943926,80.19780987663552,3
1,"WJMW+7F7, Chandanathope, Mamoodu, Kerala 14, India",686012,Kottayam,Kottayam,KERALA,9.54856711111111,76.52230786666667,7
2,"48W5+XQ9, Velampalayam, A.Thirumuruganpoondi, Tamil Nadu 641652, India",641652,Tiruppur,Coimbatore,TAMIL NADU,11.1398791,77.31429145,4
3,"98WW+WWQ, Valanjavazhy, Ambalapuzha, Kerala 688005, India",688005,Ambalappuzha,Alappuzha,KERALA,9.40768399,76.351707025,7
5,"48F6+985, MGR Nagar, Sirupooluvapatti, Tiruppur, Tamil Nadu 641687, India",641687,Tiruppur,Coimbatore,TAMIL NADU,11.0980518625,77.309765225,4
7,"1/126-E, near Pollachi, Devanurpudur, Tamil Nadu 642207, India",642207,Udaamalpet,Coimbatore,TAMIL NADU,10.544403,77.09328762727273,4
10,"Ho, Sipcot Industrial Growth Centre, Plot No-C2, near Water Tank, Perundurai, Tamil Nadu 638052, India",638052,Erode,Erode,TAMIL NADU,11.28118388372093,77.58956259534884,4
12,"11/1, Periyar Nagar, West, Karur, Tamil Nadu 639002, India",639002,Aravakurichi,Karur,TAMIL NADU,10.96040589130435,78.06453304347826,4
14,"5, Singaravelu St, T. Nagar, Chennai, Tamil Nadu 600017, India",600017,Chennai,Chennai,TAMIL NADU,13.04255560945946,80.23459868513514,3
15,"MINI INDUSTRIAL ESTATE, PLOT NO .5, near POLICE STATION, Manarcadu, Kerala 686019, India",686019,Kottayam,Kottayam,KERALA,9.592533289090907,76.58230555090908,7
16,"Chorode Panchayath, Chorode, Vatakara, Kerala 673104, India",673104,Vadakara,Kozhikode,KERALA,11.604201301538462,75.60635570307693,5
17,"Kochangadi, Chullickal, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105,7
