Unnamed: 0,Address,pincode,Taluk,Districtname,statename,Latitude,Longitude,Cluster
0,"19, 2nd St, Balamurugan Nagar, Anna Nagar Extension, Velachery, Chennai, Tamil Nadu 600042, India",600042,Chennai City Corporation,Chennai,TAMIL NADU,12.978761057943926,80.19780987663552,0
1,"WJMW+7F7, Chandanathope, Mamoodu, Kerala 14, India",686012,Kottayam,Kottayam,KERALA,9.54856711111111,76.52230786666667,0
2,"48W5+XQ9, Velampalayam, A.Thirumuruganpoondi, Tamil Nadu 641652, India",641652,Tiruppur,Coimbatore,TAMIL NADU,11.1398791,77.31429145,0
3,"98WW+WWQ, Valanjavazhy, Ambalapuzha, Kerala 688005, India",688005,Ambalappuzha,Alappuzha,KERALA,9.40768399,76.351707025,0
5,"48F6+985, MGR Nagar, Sirupooluvapatti, Tiruppur, Tamil Nadu 641687, India",641687,Tiruppur,Coimbatore,TAMIL NADU,11.0980518625,77.309765225,0
7,"1/126-E, near Pollachi, Devanurpudur, Tamil Nadu 642207, India",642207,Udaamalpet,Coimbatore,TAMIL NADU,10.544403,77.09328762727273,0
10,"Ho, Sipcot Industrial Growth Centre, Plot No-C2, near Water Tank, Perundurai, Tamil Nadu 638052, India",638052,Erode,Erode,TAMIL NADU,11.28118388372093,77.58956259534884,0
12,"11/1, Periyar Nagar, West, Karur, Tamil Nadu 639002, India",639002,Aravakurichi,Karur,TAMIL NADU,10.96040589130435,78.06453304347826,0
14,"5, Singaravelu St, T. Nagar, Chennai, Tamil Nadu 600017, India",600017,Chennai,Chennai,TAMIL NADU,13.04255560945946,80.23459868513514,0
15,"MINI INDUSTRIAL ESTATE, PLOT NO .5, near POLICE STATION, Manarcadu, Kerala 686019, India",686019,Kottayam,Kottayam,KERALA,9.592533289090907,76.58230555090908,0
16,"Chorode Panchayath, Chorode, Vatakara, Kerala 673104, India",673104,Vadakara,Kozhikode,KERALA,11.604201301538462,75.60635570307693,0
17,"Kochangadi, Chullickal, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105,0
18,"Shop No.424, Thadagam Main Rd, Near Milk Society Bus Stop, Near Milk Company, R.S. Puram, Coimbatore, Tamil Nadu 641002, India",641002,Coimbatore South,Coimbatore,TAMIL NADU,11.010469648529412,76.95122688088236,0
19,"No.9/76F, South Neervakuzhi, Kanyakumari, Palappallam, Tamil Nadu 629159, India",629159,Kalkulam,Kanyakumari,TAMIL NADU,8.1852759,77.2497986,0
20,"19/2084-E, Nambiapuram Rd, Palluruthy, Kochi, Kerala 682006, India",682006,Kochi,Ernakulam,KERALA,9.917652551851852,76.27326455925926,0
21,"Accelerated Freeze Drying Co. Ltd. (AFDC, R7CX+HQ6 P.O, Eramallur Ezhupunna Rd, Eramalloor, Ezhupunna, Kerala 688537, India",688537,Cherthala,Alappuzha,KERALA,9.82172572,76.30522974,0
22,"Binanipuram, Edayar, Kochi, Kerala 683502, India",683502,Paravur,Ernakulam,KERALA,10.087692555555556,76.30506273333334,0
23,"Mangalam, Tamil Nadu 641663, India",641663,Palladam,Coimbatore,TAMIL NADU,11.097379925,77.26562055,0
25,"40, South St, Pethi Chetti Puram, Rayapuram, Tiruppur, Tamil Nadu 641601, India",641601,Avanashi,Coimbatore,TAMIL NADU,11.096039183333334,77.27852751666666,0
