Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District
5P HORTIPLEX,"19, 2nd St, Balamurugan Nagar, Anna Nagar Extension, Velachery, Chennai, Tamil Nadu 600042, India",Tamil Nadu,600042,20000,0,0,0,0,0,0,0,0,Chennai City Corporation,Chennai
A.A.NUTS,"WJMW+7F7, Chandanathope, Mamoodu, Kerala 14, India",Kerala,686012,1346288,0,0,0,0,0,0,0,0,Kottayam,Kottayam
A.K. AHAMED MODERAN RICE MILL,"P.O, 40/2, Mannarpalayam Main Rd, Allikuttai, Salem, Tamil Nadu 636017, India",Tamil Nadu,636017,214500,48600,0,24000,24000,144685,194590,452294,1653150,Allikuttai,Salem
A.K.R. TEXTILES,"48W5+XQ9, Velampalayam, A.Thirumuruganpoondi, Tamil Nadu 641652, India",Tamil Nadu,641652,441797,361413,679656,568203,197687,14754,0,2841,0,Tiruppur,Coimbatore
A.M.FISHERIES,"98WW+WWQ, Valanjavazhy, Ambalapuzha, Kerala 688005, India",Kerala,688005,1374800,1961480,2034720,3308895,2385049,1697278,2512818,3724210,3315054,Ambalappuzha,Alappuzha
A.M.S. TRADING COMPANY,"AMS COMPLEX, VK KADAVU, Road, Nhangattiri, Pattambi, Kerala 679311, India",Kerala,679311,202834,156121,121570,26830,0,14705,0,0,0,Nhangattiri,Pattambi
A.N.P.APPARELS,"48F6+985, MGR Nagar, Sirupooluvapatti, Tiruppur, Tamil Nadu 641687, India",Tamil Nadu,641687,2721,3569,4421,0,0,0,63746,124261,37999,Tiruppur,Coimbatore
A.P. GLOBAL MARKETING,"1/126-E, near Pollachi, Devanurpudur, Tamil Nadu 642207, India",Tamil Nadu,642207,56000,0,55900,0,27000,0,0,0,0,Udaamalpet,Coimbatore
A.P.ENGINEERS,"Ho, Sipcot Industrial Growth Centre, Plot No-C2, near Water Tank, Perundurai, Tamil Nadu 638052, India",Tamil Nadu,638052,139924,17140,12617,197771,293091,36020,118131,18940,451180,Erode,Erode
A.S.K. APPARELS,"11/1, Periyar Nagar, West, Karur, Tamil Nadu 639002, India",Tamil Nadu,639002,196727,157566,87995,127016,210735,38212,0,0,0,Aravakurichi,Karur
A.S.M.KNITS,"5, Singaravelu St, T. Nagar, Chennai, Tamil Nadu 600017, India",Tamil Nadu,600017,854,5274,0,0,0,0,0,337,4701,Chennai,Chennai
AARGEE ASSOCIATES,"MINI INDUSTRIAL ESTATE, PLOT NO .5, near POLICE STATION, Manarcadu, Kerala 686019, India",Kerala,686019,793,0,0,0,0,0,0,0,0,Kottayam,Kottayam
AASHA BIOCHEM,"Chorode Panchayath, Chorode, Vatakara, Kerala 673104, India",Kerala,673104,11002,17868,19680,15760,7350,0,4357,252,0,Vadakara,Kozhikode
AAZRA MARINE INDUSTRIES,"Bharath Sea Foods Complex, Chandiroor, Alleppey, Kerala 688547, India",Kerala,688547,359290,154585,164533,374660,48000,0,0,0,0,Chandiroor,Alappuzha
ABAD FISHERIES,"Kochangadi, Chullickal, Kochi, Kerala 682002, India",Kerala,682002,5109702,5314820,5244604,6075897,6054924,3769618,4065985,4882866,5722081,Kochi,Ernakulam
ABIRAMI EXPORTS,"Shop No.424, Thadagam Main Rd, Near Milk Society Bus Stop, Near Milk Company, R.S. Puram, Coimbatore, Tamil Nadu 641002, India",Tamil Nadu,641002,393,341,0,0,7200,0,0,0,0,Coimbatore South,Coimbatore
ABISHEK EXPORTS,"No.9/76F, South Neervakuzhi, Kanyakumari, Palappallam, Tamil Nadu 629159, India",Tamil Nadu,629159,566035,382409,0,151590,249640,427361,95800,29100,28500,Kalkulam,Kanyakumari
ABM MARINE PRODUCTS,"19/2084-E, Nambiapuram Rd, Palluruthy, Kochi, Kerala 682006, India",Kerala,682006,461980,352496,549490,1256905,1789051,1459668,2476123,2617996,2059244,Kochi,Ernakulam
ACCELERATED FREEZE DRYING CO LTD.,"Accelerated Freeze Drying Co. Ltd. (AFDC, R7CX+HQ6 P.O, Eramallur Ezhupunna Rd, Eramalloor, Ezhupunna, Kerala 688537, India",Kerala,688537,237764,397922,497486,1190201,1061663,655166,892804,1604885,1791322,Cherthala,Alappuzha
ACTIVE CHAR PRODUCTS P.LTD.,"Binanipuram, Edayar, Kochi, Kerala 683502, India",Kerala,683502,2458952,2065846,1618043,1164078,2760015,3556055,3526565,4538145,4504002,Paravur,Ernakulam
ADIL TEXTILES PVT LTD,"Mangalam, Tamil Nadu 641663, India",Tamil Nadu,641663,536432,208759,670153,113005,99740,101161,722293,254500,1062411,Palladam,Coimbatore
ADITI CREATION,"40, South St, Pethi Chetti Puram, Rayapuram, Tiruppur, Tamil Nadu 641601, India",Tamil Nadu,641601,11599,4508,15642,0,0,0,0,26221,6242,Avinashi,Coimbatore
ADORN GLASS ART,"Near Pampady Gramapanchayth, NH- 220, Pampady Road, Pampady, Kottayam, Pampady, Kerala 686502, India",Kerala,686502,4500,0,0,0,0,0,0,0,0,Kottayam,Kottayam
ADRASH KNITWEAR,"No: 1/H, Avinashi - Tiruppur Rd, near BBC Petrol Pump, Thaneerpanthal, Anupparpalayam Pudur, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652, India",Tamil Nadu,641652,615,14908,4805,862,193,461,0,0,688,Tiruppur,Coimbatore
ADWAITH LAKSHMI INDUSTRIES LTD.,"114 A, Senthottam, Sowri Palayam, Coimbatore, Tamil Nadu 641028, India",Tamil Nadu,641028,2963,3660,46308,54503,30774,7231,1324,54478,18281,Coimbatore South,Coimbatore
AGAPPE DIAGNOSTICS LTD.,"Agappe Hills, Pattimattom PO, Kochi, Kerala 683562, India",Kerala,683562,1185,8412,9937,20185,72695,107682,139982,92458,167822,Aluva,Ernakulam
AGARAM KNITTERS,"No 4/571, Palladam Rd, Veerapandi, Tiruppur, Tamil Nadu 641605, India",Tamil Nadu,641605,7904,0,22424,0,0,0,0,0,0,Kangayam,Erode
AGNI APPARELS,"60, Avinashi - Tiruppur Rd, Kumar Nagar, Park Avenue, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,49637,68277,81165,32722,91338,20678,66683,17607,14328,Tiruppur,Coimbatore
AGRO BROTHERS COIR CO.,"VCMC+GH, Veppampatti, Tamil Nadu 625534, India",Tamil Nadu,625534,622620,655850,588940,756580,669685,518743,1158989,349734,213095,Bodinayakanur,Theni
AHILL KNIT EXPORTS,"Shed No. 30, Netaji Apparel Park New, Tiruppur, Tamil Nadu 641666, India",Tamil Nadu,641666,1831,110085,54555,22507,21271,14596,9670,22045,12922,Tirupur,Coimbatore
AHLL KNIT EXPORTS\,"Shed No. 30, Netaji Apparel Park New, Tiruppur, Tamil Nadu 641666, India",Tamil Nadu,641666,992,0,0,0,0,0,0,0,0,Tirupur,Coimbatore
AKAY FLAVOURS & AROMATICS LTD.,"Akanadu, Mudakuzha P.O, Kurichilakodu, Akanad, Kochi, Vengoor West, Kerala 683546, India",Kerala,683546,1386051,1350224,1173974,1052759,1091409,746178,0,0,0,Kunnathunad,Ernakulam
AKRUTHI APPARELS,"2/140, Kovil Street, Mangalam Rd, S R Nagar, Tiruppur, Tamil Nadu 641687, India",Tamil Nadu,641687,453889,818242,785932,1014895,977365,330628,709925,549448,578457,Tiruppur,Coimbatore
AKSHARA GARMENTS,"SF No. 12/3,4,5 - 13/1 - 21/1 , Sasthiri Nagar, Erangattur, Mettupalayam, Sathyamangalam - Mettupalayam Main Rd, South Rangasamuthram, Sathyamangalam, Tamil Nadu 638402, India",Tamil Nadu,638402,2032,1261,4764,0,0,0,0,0,0,Sathyamangalam,Erode
