Name,Distance from Cochin port,Distance from NW3 closest terminal,Name of the closest terminal
A.A.NUTS,52.966995911432996,20.907228122122945,Alappuzha
A.M.FISHERIES,61.45281469992794,3.480696318812603,Thrikunnappuzha
AARGEE ASSOCIATES,52.8708292816474,23.44319357065687,Thannermukkom
ABAD FISHERIES,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
ABM MARINE PRODUCTS,4.413807905523844,4.842354376793913,Bolgatty Island (CoPT land-on lease)
ACCELERATED FREEZE DRYING CO LTD.,15.477070691929644,12.689174341171066,Vaikkom
ACTIVE CHAR PRODUCTS P.LTD.,14.873906230580245,5.899756641054357,Aluva
SIEMEC EQUIPMENTS,14.873906230580245,5.899756641054357,Aluva
ADORN GLASS ART,57.78693471295356,29.28577872291115,Thannermukkom
AGAPPE DIAGNOSTICS LTD.,19.277812246690797,9.824377363936204,CEPZ (Kakkanadu)
AKAY FLAVOURS & AROMATICS LTD.,34.78548538091752,19.29802497842697,Aluva
ALAN TECH INDISTRIAL SOLUTIONS,34.7019257277326,15.741849250826231,Aluva
ALBERTS ARTS COLLECTIONS,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
ALEX MACHINES,28.24450995802632,9.76107560452377,Thannermukkom
ALLAKKAT INTERNATIONAL,48.58089746161008,3.0292853099796395,Alappuzha
ALLEPPEY BALERS P.LTD.,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
ALLEPPEY CO. LTD.,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
ALLEPPEY BALERS P.LTD.,10.164889466483157,7.275384319673425,Maradu
ALLEPPEY CO. LTD.,10.164889466483157,7.275384319673425,Maradu
ALPHONSA CASHEW INDUSTRIES,112.3175982787556,20.0206710689676,Kollam
ANASWARA OFFSET P.LTD,6.778485935712736,5.869925466631436,CEPZ (Kakkanadu)
ANCHUTHARA FOOD PRODUCTS,18.9736699494072,7.781984935702736,Vaikkom
ACHUTHARA FOOD PRODUCTS,18.9736699494072,7.781984935702736,Vaikkom
ANCHUTHENGIL AGRI SUPPLY,52.966995911432996,20.907228122122945,Alappuzha
ANGEL CASHEWS,115.52936623162965,24.77757119371837,Kollam
ANJIPARAMBIL ASSOCIATES,2.6332389470466806,3.1359132290227825,Bolgatty Island (CoPT land-on lease)
AQUA GENO EXIM,10.164889466483157,7.275384319673425,Maradu
AQUA SEAFOOD(INDIA)P.LTD.,5.592898217341665,4.0147920224662865,Maradu
ARANI EXPORTS,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
ARBEE AGENCIES,25.803982805282324,7.036142725181709,Vaikkom
ASHJOE COLD CHAIN ESTABLISHMENT,10.164889466483157,7.275384319673425,Maradu
ASMA RUBBER PRODUCTS P. LTD.,8.817136227317906,1.6356428306012087,CEPZ (Kakkanadu)
ASWIN ASSOCIATES,2.28667608697253,2.4023017357027223,Bolgatty Island (CoPT land-on lease)
ATLANTIC CARE CHEMICALS,54.5780221513337,3.2660672496551606,Alappuzha
AVLA NETTOS EXPORTS,117.79899909193574,8.35592104271684,Kollam
AYKARA PHARMACEUTICALS,113.16569403210652,13.5494139411056,Kollam
AYUR PANCHAKARMA EQUIPMENTS,22.220933199427343,7.431988941404078,Aluva
B.S.RUBBERS,52.966995911432996,20.907228122122945,Alappuzha
BABIN TECHNOLOGIES,134.95531818053104,106.30941141874096,Kottapuram
BABU COIR WORKS,42.98306787885171,8.399668593762177,Alappuzha
BABY MARINE INTERNATIONAL,2.28667608697253,2.4023017357027223,Bolgatty Island (CoPT land-on lease)
BAFNA ENTERPRISES,9.738940173861415,9.236546784549544,Maradu
BAKKHUS MERLOT INDUSTRIES,28.60260876171794,13.514249613837453,Aluva
BASCO FOODS (INDIA )PVT. LTD ,10.606961510068723,2.0403433720475737,CEPZ (Kakkanadu)
BASH-P INTERNATIONAL,6864.1067513324315,6845.298804186587,Aluva
BELL FOODS,2.28667608697253,2.4023017357027223,Bolgatty Island (CoPT land-on lease)
BETHANYA CASHEW COMPANY,112.3175982787556,20.0206710689676,Kollam
BETHSAIDA CASHEW COMPANY,112.3175982787556,20.0206710689676,Kollam
BISMI TRADING COMPANY,34.12433964830768,26.342724412279935,CEPZ (Kakkanadu)
BISMILLAH AGRI COMMODITIES,122.72470742680734,1.4783296265113484,Kollam
BLASTLINE  INDIA,6.778485935712736,5.869925466631436,CEPZ (Kakkanadu)
BLUEMOUNTAIN EXPORTERS,3.0809491753292595,0.8881516482863032,Willingdon Island (CoPT land-on lease)
BROS INDIA GROUP,38.61956142343948,9.974637163803532,Thannermukkom
BUSTHAN AL WATHANIYA,25.79028267882384,3.832219302065872,Vaikkom
C.R.I.RUBBERS,51.79093468154864,21.896848080013555,Thannermukkom
CARRIS PIPES,34.75932308814593,17.969953602814126,Aluva
CAT COIR,33.3313352376576,7.454581855876451,Thannermukkom
CATHOLIC ART CENTRE,4.378239478606447,4.086756855127446,Bolgatty Island (CoPT land-on lease)
CEAKAY INDUSTRIES,59.806789776254234,20.667451972378885,Alappuzha
CHANDRA CASHEW FACTORY,112.3175982787556,20.0206710689676,Kollam
CHARANKATTU COIR MFG.CO.P.LTD.,30.449717495980156,7.313850201401928,Thannermukkom
CHARLY FISHERIES,115.52526794594202,7.4731539021562625,Chavara
CHEMMEENS (REGD),2.28667608697253,2.4023017357027223,Bolgatty Island (CoPT land-on lease)
CHERUKATTU INDUSTRIES,10.164889466483157,7.275384319673425,Maradu
CHETHANA PHARMACEUTICALS,112.96675345333132,85.49100540582478,Kottapuram
CII GUARDIAN INTERNATIONAL LTD.,8.817136227317906,1.6356428306012087,CEPZ (Kakkanadu)
CLAIRON FILTERS,8.817136227317906,1.6356428306012087,CEPZ (Kakkanadu)
CLASSIC COIR FACTORY,42.98306787885171,8.399668593762177,Alappuzha
COCHIN CADALAS P.LTD.,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
COCHIN CONDIMENTS P.LTD.,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
COCHIN COSMOS FOODS LTD.,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
COCHIN DIES AND MOULDS,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
COCHIN FROZEN FOOD EXPORTS P. LTD.,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
COCHIN RECLAIM & RUBBER,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
COCHIN RUBBER INDUSTRIES,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
COCHIN TRADING,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
KOCHI IMPEX,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
KOCHI BENNALE,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
COCHIN CHEMICALS & RUBBER PRODUCTS,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
COCHIN PACKERS,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
"COCHIN FOOD TECH P. LTD,",7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
COCHIN CADALAS P.LTD.,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
COCHIN CONDIMENTS P.LTD.,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
COCHIN COSMOS FOODS LTD.,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
COCHIN DIES AND MOULDS,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
COCHIN FROZEN FOOD EXPORTS P. LTD.,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
COCHIN RECLAIM & RUBBER,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
COCHIN RUBBER INDUSTRIES,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
COCHIN TRADING,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
KOCHI IMPEX,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
KOCHI BENNALE,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
COCHIN CHEMICALS & RUBBER PRODUCTS,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
COCHIN PACKERS,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
"COCHIN FOOD TECH P. LTD,",1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
COCHIN CADALAS P.LTD.,30.449717495980156,7.313850201401928,Thannermukkom
COCHIN CONDIMENTS P.LTD.,30.449717495980156,7.313850201401928,Thannermukkom
COCHIN COSMOS FOODS LTD.,30.449717495980156,7.313850201401928,Thannermukkom
COCHIN DIES AND MOULDS,30.449717495980156,7.313850201401928,Thannermukkom
COCHIN FROZEN FOOD EXPORTS P. LTD.,30.449717495980156,7.313850201401928,Thannermukkom
COCHIN RECLAIM & RUBBER,30.449717495980156,7.313850201401928,Thannermukkom
COCHIN RUBBER INDUSTRIES,30.449717495980156,7.313850201401928,Thannermukkom
COCHIN TRADING,30.449717495980156,7.313850201401928,Thannermukkom
KOCHI IMPEX,30.449717495980156,7.313850201401928,Thannermukkom
KOCHI BENNALE,30.449717495980156,7.313850201401928,Thannermukkom
COCHIN CHEMICALS & RUBBER PRODUCTS,30.449717495980156,7.313850201401928,Thannermukkom
COCHIN PACKERS,30.449717495980156,7.313850201401928,Thannermukkom
"COCHIN FOOD TECH P. LTD,",30.449717495980156,7.313850201401928,Thannermukkom
COCHIN EXPORTS,6.983519953951737,2.8791395079967805,CEPZ (Kakkanadu)
COCHIN EXPORTS  ,6.983519953951737,2.8791395079967805,CEPZ (Kakkanadu)
COCHIN CADALAS P.LTD.,10.164889466483157,7.275384319673425,Maradu
COCHIN CONDIMENTS P.LTD.,10.164889466483157,7.275384319673425,Maradu
COCHIN COSMOS FOODS LTD.,10.164889466483157,7.275384319673425,Maradu
COCHIN DIES AND MOULDS,10.164889466483157,7.275384319673425,Maradu
COCHIN FROZEN FOOD EXPORTS P. LTD.,10.164889466483157,7.275384319673425,Maradu
COCHIN RECLAIM & RUBBER,10.164889466483157,7.275384319673425,Maradu
COCHIN RUBBER INDUSTRIES,10.164889466483157,7.275384319673425,Maradu
COCHIN TRADING,10.164889466483157,7.275384319673425,Maradu
KOCHI IMPEX,10.164889466483157,7.275384319673425,Maradu
KOCHI BENNALE,10.164889466483157,7.275384319673425,Maradu
COCHIN CHEMICALS & RUBBER PRODUCTS,10.164889466483157,7.275384319673425,Maradu
COCHIN PACKERS,10.164889466483157,7.275384319673425,Maradu
"COCHIN FOOD TECH P. LTD,",10.164889466483157,7.275384319673425,Maradu
COCHIN MINERALS AND RUTILE LTD.,18.265983302885743,1.5443212892369902,Aluva
COCHIN SURFACTANTS P.LTD.,14.873906230580245,5.899756641054357,Aluva
COCHIN TRADERS COCHIN,4.413807905523844,4.842354376793913,Bolgatty Island (CoPT land-on lease)
COCO  FIBRE TEX,49.83736831117566,1.8820905129966898,Alappuzha
COIMBATORE POTTERIES & REFRACTORIES,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
2F WIND POWER COIMBATORE PVT LTD,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
COIMBATORE SUPER ALLOYS P.LTD.,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
MIRACLE RECLAIM RUBBER COIMBATORE P.LTD.,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
COIMBATORE COTS & COATINGS LTD.,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
COIMBATORE POLYTEX,7.614609412985681,4.413024439507884,CEPZ (Kakkanadu)
COIR FLEX,26.108332560616518,9.226641137992708,Vaikkom
COIR FLOOR FURNISHING CO.,51.439441896362936,0.7605570812753425,Alappuzha
COIR MATES INDIA,33.3313352376576,7.454581855876451,Thannermukkom
COMET EXPORTS,38.61956142343948,9.974637163803532,Thannermukkom
CONSOLIDATED WOOD INDUSTRIES,54.18500241298775,19.701908276978507,Alappuzha
COONOOR TEA ESTATES CO. LTD.,1.8728198472083997,0.7626300729550536,Willingdon Island (CoPT land-on lease)
